key	PGa_M14	Ga_M21	PGa_M15	Ga_M15	PGa_M16	Ga_M28	Ga_M34	Ga_M10	Ga_M30	No_M2	G_M14	G_M9	G_M13	G_M7	G_M15	G_M5	G_M16	Ga_M18	L_M16	Ga_M22	L_M10	Ga_M17	En_M12	En_M2	En_M11	En_M8	En_M4	En_M10	En_M6	En_M9	Ga_M24	BS_M34	Ga_M27	BS_M23	BS_M3	BS_M6	BS_M41	BS_M13	BS_M30	BS_M12	BS_M52	BS_M33	PGa_M1	PGa_M2	PGa_M3	PGa_M4	PGa_M5	PGa_M6	PGa_M7	PGa_M8	PGa_M9	PGa_M10	PGa_M11	PGa_M12	PGa_M13	Ga_M16	Ga_M11	Ga_M33	Ga_M31	Ga_M25	Ga_M36	Ga_M7	Ga_M13	Ga_M32	Ga_M14	Ga_M35	Ga_M26	Ga_M20	Ga_M23	Ga_M8	Ga_M9	Ga_M12	Ga_M29	Ga_M19	BS_M1	R_M1	BS_M2	En_M1	M_M7	BS_M14	Ey_M7	M_M9	L_M8	BS_M22	M_M11	BS_M27	PG_M4	BS_M31	Ep_M14	Ep_M16	Ep_M21	BS_M35	Ep_M22	R_M10	M_M18	L_M22	L_M24	BS_M40	L_M25	BS_M54	B_M8	B_M9	B_M11	B_M18	B_M19	B_M23	B_M25	B_M26	B_M1	B_M15	B_M5	B_M17	B_M12	B_M7	B_M3	B_M4	B_M13	B_M27	B_M6	B_M22	B_M10	B_M2	B_M14	B_M21	B_M16	B_M20	Ey_M10	Ey_M16	Ey_M2	Ey_M3	Ey_M11	Ey_M5	Ey_M18	Ey_M12	Ey_M6	Ey_M17	Ey_M1	Ey_M9	Ey_M14	Ey_M15	Ey_M8	Ey_M4	Ey_M13	R_M7	R_M8	R_M11	R_M9	R_M12	R_M2	R_M13	R_M4	R_M6	R_M14	R_M5	R_M3	G_M4	G_M3	G_M1	G_M11	G_M12	G_M2	G_M10	PG_M2	PG_M6	PG_M3	PG_M5	PG_M1	PN_M4	PN_M5	PN_M2	PN_M3	PN_M1	PN_M6	PN_M8	PN_M7	L_M9	L_M14	L_M19	L_M26	L_M27	L_M21	L_M17	L_M11	L_M20	L_M5	L_M12	L_M28	L_M18	L_M1	L_M2	L_M23	L_M15	En_M3	M_M10	M_M8	M_M4	M_M12	M_M14	M_M17	M_M2	M_M3	M_M16	M_M6	M_M1	M_M5	M_M13	M_M15	Ep_M3	Ep_M5	Ep_M10	Ep_M15	Ep_M2	Ep_M20	Ep_M19	Ep_M9	Ep_M26	Ep_M13	Ep_M7	Ep_M4	Ep_M8	Ep_M25	Ep_M24	Ep_M17	Ep_M6	Ep_M12	Ep_M11	Ep_M18	BS_M15	BS_M44	BS_M18	BS_M45	BS_M19	BS_M17	BS_M11	BS_M53	BS_M21	BS_M24	BS_M48	BS_M56	BS_M42	BS_M26	BS_M46	BS_M29	BS_M50	BS_M43	BS_M47	BS_M49	BS_M28	BS_M51	BS_M8	BS_M38	BS_M5	BS_M7	BS_M4	BS_M55	BS_M9	BS_M10	BS_M32	BS_M16	BS_M36	BS_M37	BS_M39
Cell Type Node	Embryonic visceral endoderm	Gut	Epiblast	Definitive ectoderm	Primitive streak	Nascent mesoderm	Primordial germ cells	Anterior primitive streak	Notochord	Ciliated nodal cells	Midgut/Hindgut epithelial cells	Hepatocytes	Lung progenitor cells	Foregut epithelial cells	Pancreatic acinar cells	Biliary epithelial cells	Pancreatic islets	Extraembryonic mesoderm	Limb mesenchyme progenitors	Gut mesenchyme	Gastrointestinal smooth muscle cells	Endothelium	Venous and capillary endothelial cells	Brain capillary endothelial cells	Pericytes	Liver sinusoidal endothelial cells	Endocardial cells	Microvascular endothelial cells	Glomerular endothelial cells	Lymphatic vessel endothelial cells	Hindbrain	Floorplate and p3 domain	Midbrain	Hypothalamus (Sim1+)	Astrocytes	Cerebellum-related cells	Spinal dI1 interneurons	Di/mesencephalon glutamatergic neurons	Neural progenitor cells (Ror1+)	Di/mesencephalon GABAergic neurons	Striatal projection neurons	Oligodendrocyte progenitor cells	Oocyte	1-cell	2-cell	4-cell	8-cell	Morula	Inner cell mass	Trophectoderm	Extraembryonic ectoderm	Hypoblast	Parietal endoderm	Visceral endoderm	Extraembryonic visceral endoderm	Definitive endoderm	Blood progenitors	Primitive erythroid cells	Paraxial mesoderm (Tbx6+)	Intermediate mesoderm	Surface ectoderm	Allantois	Cardiopharyngeal mesoderm	Paraxial mesoderm (Tbx6-)	CLE and NMPs	Spinal cord	Lateral plate mesoderm	Forebrain	Hematoendothelial progenitors	Amniotic ectoderm	Amniotic mesoderm	Cardiogenic mesoderm	Neural crest	Floor plate	Anterior floor plate	Anterior intermediate mesoderm	Anterior roof plate	Arterial endothelial cells	Dermomyotome	Diencephalon	Eye field	Facial mesenchyme	First heart field	Hypothalamus	Mesodermal progenitors (Tbx6+)	Midbrain-hindbrain boundary	Neural crest (PNS glia)	NMPs and spinal cord progenitors	Olfactory epithelial cells	Otic epithelial cells	Placodal area	Posterior roof plate	Pre-epidermal keratinocytes	Posterior intermediate mesoderm	Sclerotome	Second heart field	Somatic mesoderm	Spinal cord/r7/r8	Splanchnic mesoderm	Telencephalon	Definitive early erythroblasts (CD36-)	Definitive erythroblasts (CD36+)	Hematopoietic stem cells (Cd34+)	Monocytes	Monocytic myeloid-derived suppressor cells	PMN myeloid-derived suppressor cells	Regulatory T cells	T cells	Activated T cells	Megakaryocyte-erythroid progenitors	Border-associated macrophages	Microglia	Hematopoietic stem cells (Mpo+)	Conventional dendritic cells	B cell progenitors	B cells	Kupffer cells	T-NK progenitors	Border-associated macrophages (Ms4a8a+)	Plasmacytoid dendritic cells	Granulocytes	Adipose tissue macrophages	Mast cells	Osteoclasts	Megakaryocytes	Natural killer cells	Naive retinal progenitor cells	Retinal progenitor cells	Amacrine/Horizontal precursor cells	Bipolar precursor cells	Optic stalk	Ciliary margin cells	Suprachiasmatic nucleus	Photoreceptor precursor cells	Cone precursor cells	Rod precursor cells	Amacrine cells	Iris pigment epithelium	Retinal ganglion cells	Retinal pigment cells	Horizontal cells	Cholinergic amacrine cells	PV-containing retinal ganglion cells	Metanephric mesenchyme	Nephron progenitors	Proximal tubule cells	Podocytes	Renal pericytes and mesangial cells	Ascending loop of Henle	Ureteric bud	Collecting duct principal cells	Distal convoluted tubule	Ureteric bud stalk	Connecting tubule	Collecting duct intercalated cells	Alveolar Type 2 cells	Alveolar Type 1 cells	Airway club cells	Intestinal goblet cells	Lung cells (Eln+)	Airway goblet cells	Intestinal enteroendocrine cells	Myelinating Schwann cells	Satellite glial cells	Myelinating Schwann cells (Tgfb2+)	Olfactory ensheathing cells	Melanocyte cells	Neural crest (PNS neurons)	Olfactory sensory neurons	Dorsal root ganglion neurons	Enteric neurons	Corticofugal neurons	Otic sensory neurons	Sympathetic neurons	Parasympathetic neurons	Foregut mesenchyme	Hepatic mesenchyme	Mesothelial cells	Vascular smooth muscle cells	Vascular smooth muscle cells (Pparg+)	Renal stromal cells	Lung mesenchyme	Gonad progenitor cells	Proepicardium	Atrial cardiomyocytes	Granulosa cells	Ventricular cardiomyocytes	Meninges	Adrenocortical cells	Airway smooth muscle cells	Sertoli cells	Leydig cells	Brain pericytes	Fibroblasts	Early chondrocytes	Chondrocytes (Atp1a2+)	Muscle progenitor cells	Myoblasts	Pre-osteoblasts (Sp7+)	Adipocyte progenitor cells	Brown adipocyte cells	Myotubes	Dermatome	Adipocyte cells (Cyp2e1+)	Chondrocytes (Otor+)	Muscle progenitor cells (Prdm1+)	Myofibroblasts	Basal keratinocytes	Branchial arch epithelium	Granular keratinocytes	Olfactory pit cells	Apical ectodermal ridge	Pituitary/Pineal gland progenitors	Pituitary gland cells	Dental epithelial cells	Tooth junctional epithelium	Olfactory bulb cells	Conjunctival goblet cells	Bladder urothelial cells	Corneal epithelial cells	Thyroid gland cells	Thymic epithelial cells	Parathyroid epithelial cells	Cochlear hair cells	Nonsensory cochlear epithelium	Lens epithelial cells	Pineal gland	Dorsal telencephalon	Spinal dI4 interneurons	GABAergic neurons (after E13.0)	Spinal dI5 interneurons	Glutamatergic neurons (after E13.0)	GABAergic cortical interneurons	Deep-layer neurons	Subplate neurons	Hypothalamic Sim1 neurons	Intermediate neuronal progenitors	Spinal V1 interneurons	Upper-layer neurons	Spinal dI2 interneurons	Midbrain dopaminergic neurons	Spinal dI6 interneurons	Neural progenitor cells (Neurod1+)	Spinal V2b interneurons	Spinal dI3 interneurons	Spinal V0 interneurons	Spinal V2a interneurons	Multiciliated ependymal cells	Spinal V3 interneurons	Committed oligodendrocyte precursors	Spinal cord motor neurons	Cerebellar Purkinje cells	Choroid plexus	Cajal-Retzius cells	Thalamic neuronal precursors	Cortical Interneurons (Prox1+)	Cranial motor neurons	Neurons (Slc17a8+)	Ependymal cells	Precerebellar neurons	Spinal cord dorsal progenitors (after E13.0)	Spinal cord ventral progenitors (after E13.0)
Developmental Subgroup	Pre_gastrulation	Gastrulation	Pre_gastrulation	Gastrulation	Pre_gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Notochord	Gut	Gut	Gut	Gut	Gut	Gut	Gut	Gastrulation	Lateral_plate_mesoderm	Gastrulation	Lateral_plate_mesoderm	Gastrulation	Endothelium	Endothelium	Endothelium	Endothelium	Endothelium	Endothelium	Endothelium	Endothelium	Gastrulation	Brain_spinal_cord	Gastrulation	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Pre_gastrulation	Pre_gastrulation	Pre_gastrulation	Pre_gastrulation	Pre_gastrulation	Pre_gastrulation	Pre_gastrulation	Pre_gastrulation	Pre_gastrulation	Pre_gastrulation	Pre_gastrulation	Pre_gastrulation	Pre_gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Gastrulation	Brain_spinal_cord	Renal	Brain_spinal_cord	Endothelium	Mesoderm	Brain_spinal_cord	Eye	Mesoderm	Lateral_plate_mesoderm	Brain_spinal_cord	Mesoderm	Brain_spinal_cord	PNS_glia	Brain_spinal_cord	Epithelial_cells	Epithelial_cells	Epithelial_cells	Brain_spinal_cord	Epithelial_cells	Renal	Mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Brain_spinal_cord	Lateral_plate_mesoderm	Brain_spinal_cord	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Eye	Eye	Eye	Eye	Eye	Eye	Eye	Eye	Eye	Eye	Eye	Eye	Eye	Eye	Eye	Eye	Eye	Renal	Renal	Renal	Renal	Renal	Renal	Renal	Renal	Renal	Renal	Renal	Renal	Gut	Gut	Gut	Gut	Gut	Gut	Gut	PNS_glia	PNS_glia	PNS_glia	PNS_glia	PNS_glia	PNS_neurons	PNS_neurons	PNS_neurons	PNS_neurons	PNS_neurons	PNS_neurons	PNS_neurons	PNS_neurons	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Lateral_plate_mesoderm	Endothelium	Mesoderm	Mesoderm	Mesoderm	Mesoderm	Mesoderm	Mesoderm	Mesoderm	Mesoderm	Mesoderm	Mesoderm	Mesoderm	Mesoderm	Mesoderm	Mesoderm	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Epithelial_cells	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord	Brain_spinal_cord
